"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 10 03:27:59 UTC 2023","Fri Nov 10 03:28:10 UTC 2023","10957","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Nov 10 04:38:18 UTC 2023","Fri Nov 10 04:38:40 UTC 2023","21548","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Nov 10 03:34:01 UTC 2023","Fri Nov 10 03:34:06 UTC 2023","4750","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Nov 10 04:04:04 UTC 2023","Fri Nov 10 04:04:08 UTC 2023","3226","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Nov 10 03:28:35 UTC 2023","Fri Nov 10 03:28:38 UTC 2023","2543","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Nov 10 04:03:52 UTC 2023","Fri Nov 10 04:03:56 UTC 2023","3812","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Nov 10 04:03:48 UTC 2023","Fri Nov 10 04:03:52 UTC 2023","4376","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Nov 10 03:56:25 UTC 2023","Fri Nov 10 03:56:28 UTC 2023","3228","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Nov 10 03:01:58 UTC 2023","Fri Nov 10 03:02:02 UTC 2023","4895","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Nov 10 03:34:00 UTC 2023","Fri Nov 10 03:34:01 UTC 2023","872","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Nov 10 03:27:58 UTC 2023","Fri Nov 10 03:27:59 UTC 2023","372","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Nov 10 03:02:22 UTC 2023","Fri Nov 10 03:02:28 UTC 2023","6071","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Nov 10 04:15:42 UTC 2023","Fri Nov 10 04:15:43 UTC 2023","1219","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Nov 10 04:22:28 UTC 2023","Fri Nov 10 04:22:34 UTC 2023","5172","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Nov 10 04:38:11 UTC 2023","Fri Nov 10 04:38:18 UTC 2023","7215","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Nov 10 04:04:14 UTC 2023","Fri Nov 10 04:04:34 UTC 2023","19879","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Nov 10 03:03:39 UTC 2023","Fri Nov 10 03:03:51 UTC 2023","12018","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Nov 10 04:21:28 UTC 2023","Fri Nov 10 04:21:28 UTC 2023","93","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Nov 10 03:03:53 UTC 2023","Fri Nov 10 03:03:54 UTC 2023","442","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Nov 10 04:13:13 UTC 2023","Fri Nov 10 04:13:26 UTC 2023","13037","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Nov 10 04:20:53 UTC 2023","Fri Nov 10 04:21:14 UTC 2023","20423","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Nov 10 04:24:32 UTC 2023","Fri Nov 10 04:24:36 UTC 2023","4230","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Nov 10 02:44:11 UTC 2023","Fri Nov 10 02:44:34 UTC 2023","22739","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Nov 10 03:57:00 UTC 2023","Fri Nov 10 03:57:03 UTC 2023","2287","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Nov 10 03:34:06 UTC 2023","Fri Nov 10 03:34:07 UTC 2023","1493","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Nov 10 03:06:10 UTC 2023","Fri Nov 10 03:06:20 UTC 2023","9713","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Nov 10 03:27:47 UTC 2023","Fri Nov 10 03:27:58 UTC 2023","11407","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Nov 10 04:04:08 UTC 2023","Fri Nov 10 04:04:14 UTC 2023","6043","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Nov 10 02:45:54 UTC 2023","Fri Nov 10 02:46:07 UTC 2023","12819","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Nov 10 04:15:32 UTC 2023","Fri Nov 10 04:15:41 UTC 2023","8259","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Nov 10 04:03:33 UTC 2023","Fri Nov 10 04:03:48 UTC 2023","15113","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Nov 10 02:59:28 UTC 2023","Fri Nov 10 02:59:29 UTC 2023","801","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Nov 10 04:04:47 UTC 2023","Fri Nov 10 04:04:49 UTC 2023","2285","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Nov 10 03:17:32 UTC 2023","Fri Nov 10 03:17:41 UTC 2023","8920","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Nov 10 03:16:55 UTC 2023","Fri Nov 10 03:17:02 UTC 2023","6840","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Nov 10 04:13:38 UTC 2023","Fri Nov 10 04:13:42 UTC 2023","4229","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Nov 10 02:52:21 UTC 2023","Fri Nov 10 02:53:33 UTC 2023","72457","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Nov 10 04:26:55 UTC 2023","Fri Nov 10 04:28:12 UTC 2023","76777","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Nov 10 03:19:32 UTC 2023","Fri Nov 10 03:20:42 UTC 2023","70160","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Nov 10 04:06:53 UTC 2023","Fri Nov 10 04:11:04 UTC 2023","250553","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Nov 10 03:56:28 UTC 2023","Fri Nov 10 03:57:00 UTC 2023","31913","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Nov 10 03:17:41 UTC 2023","Fri Nov 10 03:17:43 UTC 2023","1679","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Nov 10 03:03:37 UTC 2023","Fri Nov 10 03:03:39 UTC 2023","1763","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Nov 10 04:15:43 UTC 2023","Fri Nov 10 04:15:44 UTC 2023","922","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Nov 10 03:13:49 UTC 2023","Fri Nov 10 03:13:54 UTC 2023","4880","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Nov 10 02:47:50 UTC 2023","Fri Nov 10 02:48:37 UTC 2023","46780","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Nov 10 04:17:55 UTC 2023","Fri Nov 10 04:18:04 UTC 2023","8620","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Nov 10 03:01:36 UTC 2023","Fri Nov 10 03:01:50 UTC 2023","14460","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Nov 10 03:31:48 UTC 2023","Fri Nov 10 03:32:08 UTC 2023","20614","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Nov 10 02:59:15 UTC 2023","Fri Nov 10 02:59:15 UTC 2023","390","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Nov 10 04:03:56 UTC 2023","Fri Nov 10 04:04:00 UTC 2023","3812","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Nov 10 04:15:26 UTC 2023","Fri Nov 10 04:15:32 UTC 2023","5799","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Nov 10 03:28:51 UTC 2023","Fri Nov 10 03:28:51 UTC 2023","802","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Nov 10 03:16:41 UTC 2023","Fri Nov 10 03:16:55 UTC 2023","14719","","6. Company Account","","","","1. Validate login credentials",""
"passed","Fri Nov 10 03:13:41 UTC 2023","Fri Nov 10 03:13:49 UTC 2023","7996","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Nov 10 03:31:47 UTC 2023","Fri Nov 10 03:31:48 UTC 2023","510","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Nov 10 03:01:50 UTC 2023","Fri Nov 10 03:01:57 UTC 2023","7254","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Nov 10 04:13:26 UTC 2023","Fri Nov 10 04:13:36 UTC 2023","9567","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Nov 10 04:00:23 UTC 2023","Fri Nov 10 04:01:05 UTC 2023","42345","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Nov 10 03:13:54 UTC 2023","Fri Nov 10 03:14:10 UTC 2023","16152","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Nov 10 02:46:07 UTC 2023","Fri Nov 10 02:47:35 UTC 2023","87583","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Nov 10 03:14:29 UTC 2023","Fri Nov 10 03:14:31 UTC 2023","1589","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Nov 10 02:47:35 UTC 2023","Fri Nov 10 02:47:50 UTC 2023","14886","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Nov 10 02:52:13 UTC 2023","Fri Nov 10 02:52:20 UTC 2023","7493","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Nov 10 02:50:39 UTC 2023","Fri Nov 10 02:50:43 UTC 2023","4191","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Nov 10 03:17:02 UTC 2023","Fri Nov 10 03:17:06 UTC 2023","3886","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Nov 10 02:57:05 UTC 2023","Fri Nov 10 02:57:13 UTC 2023","7865","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Nov 10 02:44:46 UTC 2023","Fri Nov 10 02:45:01 UTC 2023","15579","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Fri Nov 10 03:14:31 UTC 2023","Fri Nov 10 03:14:52 UTC 2023","21134","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Nov 10 03:17:31 UTC 2023","Fri Nov 10 03:17:32 UTC 2023","1246","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Nov 10 03:09:31 UTC 2023","Fri Nov 10 03:09:36 UTC 2023","5370","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Nov 10 04:15:32 UTC 2023","Fri Nov 10 04:15:32 UTC 2023","316","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Nov 10 02:56:23 UTC 2023","Fri Nov 10 02:56:33 UTC 2023","10590","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Nov 10 04:38:08 UTC 2023","Fri Nov 10 04:38:11 UTC 2023","2934","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
